# Cross section for N2
# Energy in eV
# Cross section in cm2
# Total Cross Section
# Elastic Cross Section
# Process 0 : N2+e->N2(rot) J 0 -> 2
# Process 1 : N2+e->N2(vib)v= 0 -> 1
# Process 2 : N2+e->N2(A3Su+)
# Process 3 : N2+e->N2(B3Pg)
# Process 4 : N2+e->N2(W3Du)
# Process 5 : N2+e->N2(B'3Su-)
# Process 6 : N2+e->N2(a'1Su-)
# Process 7 : N2+e->N2(a1Pg)
# Process 8 : N2+e->N2(W1Du)
# Process 9 : N2+e->N2(C3Pu)
# Process 10 : N2+e->N2(E3Sg+)
# Process 11 : N2+e->N2(a''1Sg+)
# Process 12 : N2+e->2 * N*
# Process 13 : N2+e->N2+
# Process 14 : N2+e->N+ + N
# Process 15 : N2+e->N++ + N
# Process 16 : N2+e->N2++
# Process 17 : N2 + e -> .57 x N2++(X-KSHELL) 0.43 x O+(X) 0.43 x Fluo-auger(X) 
# Process 18 : N2+e->N2+( 391.4nm - first negative)
# Process 19 : N2+e->N2+( 391.4nm - first negative)
# Process 20 : N2+e->N2+( 4278nm - first negative)
# Process 21 : N2+e->N2(a-X) 135.4
# Process 22 : N2+e->N2(C-B) 337.1
# Process 23 : N2+e->N2(c'4-X) 95.8
# Process 24 : N2+e->N + N* 113.4nm
# Process 25 : N2+e->N + N* 120nm
# Process 26 : N2+e->N + N* 124.3nm
# Process 27 : N2+e->N + N* 149.4nm
# Process 28 : N2+e->N + N+ 108.4nm
4.393636273e+02	4.259709858e-16	1.997793409e-16	3.749640427e-19	3.066414876e-25	2.288089233e-20	3.976787876e-20	4.197424794e-22	4.838839541e-22	2.673285059e-19	1.544866929e-18	0.000000000e+00	1.520595795e-20	2.053171380e-22	8.910662049e-20	7.466083278e-17	1.128562361e-16	3.295640753e-17	9.584625030e-19	2.374481532e-18	2.999447064e-20	8.990469658e-18	1.032571321e-17	3.263771895e-18	9.263182205e-20	7.523691665e-21	4.238534903e-18	4.367171339e-19	2.080930714e-18	5.527855046e-19	8.306540997e-19	1.382033340e-18	
3.859368955e+02	4.605331416e-16	2.169835290e-16	4.196296181e-19	6.638767388e-25	3.060597159e-20	5.065942712e-20	6.913143476e-22	7.320858612e-22	3.203786381e-19	1.752071978e-18	0.000000000e+00	2.045963968e-20	3.076008795e-22	1.050202702e-19	7.879405775e-17	1.221981591e-16	3.623372536e-17	1.067590494e-18	2.555522715e-18	0.000000000e+00	9.735923533e-18	1.108545695e-17	3.550916041e-18	1.031551354e-19	9.763755839e-21	4.609083637e-18	4.886691304e-19	2.273599186e-18	6.079337911e-19	9.103569538e-19	1.517332254e-18	
3.389670457e+02	5.021444187e-16	2.420353500e-16	4.696636296e-19	1.438294890e-24	4.094999478e-20	6.454808698e-20	1.139107092e-21	1.108015276e-21	3.756474343e-19	1.987294990e-18	0.000000000e+00	2.753587965e-20	4.610085878e-22	1.237943860e-19	8.290822474e-17	1.299336837e-16	4.025144949e-17	1.193429821e-18	2.730136977e-18	0.000000000e+00	1.045649067e-17	1.186368059e-17	3.842684297e-18	1.148851356e-19	1.267375730e-20	4.964673439e-18	5.565660832e-19	2.537731438e-18	6.718768885e-19	1.019543478e-18	1.725641441e-18	
2.976737322e+02	5.422907421e-16	2.665338946e-16	5.257244768e-19	3.118565171e-24	5.480648956e-20	8.226498722e-20	1.877920935e-21	1.677703322e-21	4.320601282e-19	2.254390657e-18	0.000000000e+00	3.707089044e-20	6.912127630e-22	1.459494492e-19	8.667312597e-17	1.373673644e-16	4.398235616e-17	1.291572978e-18	2.905911051e-18	0.000000000e+00	1.114033490e-17	1.265210072e-17	4.132803772e-18	1.279631978e-19	1.651008135e-20	5.222258674e-18	6.233199774e-19	2.794374666e-18	7.355341869e-19	1.126384361e-18	1.930365098e-18	
2.613709177e+02	5.823147927e-16	2.916547167e-16	5.885549291e-19	6.767941604e-24	7.337681169e-20	1.048746315e-19	3.097741236e-21	2.541535976e-21	4.886122547e-19	2.557763348e-18	0.000000000e+00	4.992508356e-20	1.036862457e-21	1.721028165e-19	8.967918359e-17	1.447740645e-16	4.767608504e-17	1.415442870e-18	3.073407280e-18	0.000000000e+00	1.178911637e-17	1.343988063e-17	4.413563427e-18	1.425480688e-19	2.219467854e-20	5.582225059e-18	6.774948681e-19	3.028577445e-18	8.275405658e-19	1.230865043e-18	2.099563033e-18	
2.294554761e+02	6.263113690e-16	3.196163983e-16	6.589939319e-19	1.470309250e-23	9.827776585e-20	1.337417439e-19	5.113330367e-21	3.852287980e-21	5.444129307e-19	2.902451148e-18	0.000000000e+00	6.726321069e-20	1.556202902e-21	2.029874983e-19	9.240794466e-17	1.537286612e-16	5.118237904e-17	1.517894686e-18	3.239426354e-18	0.000000000e+00	1.236194153e-17	1.421313967e-17	4.675983330e-18	1.588182190e-19	2.878847728e-20	5.837270281e-18	7.289985004e-19	3.250636176e-18	9.178877848e-19	1.330694834e-18	2.260520492e-18	
2.013971717e+02	6.705551000e-16	3.484956176e-16	7.379903345e-19	3.197970525e-23	1.316876858e-19	1.706178624e-19	8.446842335e-21	5.842740353e-21	5.987102177e-19	3.294224398e-18	0.000000000e+00	9.066376414e-20	2.337115248e-21	2.394748346e-19	9.487542342e-17	1.606586333e-16	5.630819922e-17	1.540000000e-18	3.397198680e-18	0.000000000e+00	1.287395687e-17	1.495445125e-17	4.910183583e-18	1.769745689e-19	3.618558279e-20	6.030100717e-18	7.775021198e-19	3.459268024e-18	1.005428942e-18	1.425126404e-18	2.412187213e-18	
1.767298508e+02	7.187307420e-16	3.809949617e-16	8.266189236e-19	6.965085142e-23	1.765451623e-19	2.177537893e-19	1.396572835e-20	8.868060818e-21	6.509011254e-19	3.739701677e-18	0.000000000e+00	1.222686512e-19	3.512374615e-21	2.826019662e-19	9.871787986e-17	1.678074836e-16	6.010535258e-17	1.510826232e-18	3.551430935e-18	0.000000000e+00	1.348050626e-17	1.564238666e-17	5.105962350e-18	1.989192945e-19	4.798620928e-20	6.204881487e-18	8.422884462e-19	3.737365584e-18	1.107011929e-18	1.558324233e-18	2.602850982e-18	
1.550436963e+02	7.644853417e-16	4.123461721e-16	9.260992382e-19	1.519314482e-22	2.368200819e-19	2.780460233e-19	2.311346835e-20	1.347098964e-20	7.005296820e-19	4.246486948e-18	1.800503353e-299	1.649884855e-19	5.282892797e-21	3.336052326e-19	1.029713270e-16	1.734677720e-16	6.376562488e-17	1.331191120e-18	3.674659639e-18	0.000000000e+00	1.399807093e-17	1.625119753e-17	5.253548424e-18	2.206220824e-19	6.176527579e-20	6.362718896e-18	9.048067886e-19	4.005044846e-18	1.205790739e-18	1.688259195e-18	2.785671666e-18	
1.359784197e+02	7.746850529e-16	4.105307649e-16	1.037817767e-18	3.319964484e-22	3.178843509e-19	3.552280431e-19	3.829662446e-20	2.048236763e-20	7.472766241e-19	4.823332500e-18	1.054688705e-269	2.227849660e-19	7.953217809e-21	3.939609417e-19	1.073236910e-16	1.785992163e-16	6.537998142e-17	1.154449942e-18	3.731599902e-18	0.000000000e+00	1.437954767e-17	1.675077302e-17	5.344441953e-18	2.498053424e-19	8.232273939e-20	6.718138852e-18	9.547397714e-19	4.242672481e-18	1.305231559e-18	1.763442699e-18	2.876677123e-18	
