# Satellite simulation of the  emission
# Flux in R
# Tangent altitude in Km
# Total Flux
# 297.229
# 557.734
1.000000000e+02	5.241630688e+05	2.959554844e+04	4.945675203e+05	
1.020100503e+02	5.906526109e+05	3.334971309e+04	5.573028978e+05	
1.040201005e+02	6.364794787e+05	3.593721184e+04	6.005422669e+05	
1.060301508e+02	6.451052384e+05	3.642424365e+04	6.086809947e+05	
1.080402010e+02	6.206467765e+05	3.504325816e+04	5.856035183e+05	
1.100502513e+02	5.769128176e+05	3.257393025e+04	5.443388874e+05	
1.120603015e+02	5.241795494e+05	2.959647897e+04	4.945830704e+05	
1.140703518e+02	4.697437365e+05	2.652289781e+04	4.432208387e+05	
1.160804020e+02	4.178453084e+05	2.359258369e+04	3.942527248e+05	
1.180904523e+02	3.707357418e+05	2.093266058e+04	3.498030812e+05	
1.201005025e+02	3.293191112e+05	1.859417477e+04	3.107249364e+05	
1.221105528e+02	2.936408403e+05	1.657969100e+04	2.770611493e+05	
1.241206030e+02	2.630843704e+05	1.485439683e+04	2.482299735e+05	
1.261306533e+02	2.365547364e+05	1.335646782e+04	2.231982686e+05	
1.281407035e+02	2.134364518e+05	1.205115206e+04	2.013852997e+05	
1.301507538e+02	1.931820422e+05	1.090753780e+04	1.822745044e+05	
1.321608040e+02	1.753556505e+05	9.901015464e+03	1.654546351e+05	
1.341708543e+02	1.595893733e+05	9.010812299e+03	1.505785610e+05	
1.361809045e+02	1.455904420e+05	8.220397877e+03	1.373700441e+05	
1.381909548e+02	1.331014723e+05	7.515239637e+03	1.255862327e+05	
1.402010050e+02	1.219297126e+05	6.884454346e+03	1.150452583e+05	
1.422110553e+02	1.118937643e+05	6.317799784e+03	1.055759646e+05	
1.442211055e+02	1.028510312e+05	5.807224616e+03	9.704380657e+04	
1.462311558e+02	9.467524726e+04	5.345599553e+03	8.932964771e+04	
1.482412060e+02	8.726044964e+04	4.926941668e+03	8.233350797e+04	
1.502512563e+02	8.051761373e+04	4.546224408e+03	7.597138932e+04	
1.522613065e+02	7.437164669e+04	4.199207848e+03	7.017243884e+04	
1.542713568e+02	6.875283458e+04	3.881955764e+03	6.487087881e+04	
1.562814070e+02	6.361045820e+04	3.591604424e+03	6.001885378e+04	
1.582914573e+02	5.888671181e+04	3.324889974e+03	5.556182184e+04	
1.603015075e+02	5.454242465e+04	3.079600733e+03	5.146282392e+04	
1.623115578e+02	5.054066490e+04	2.853651440e+03	4.768701346e+04	
1.643216080e+02	4.684751679e+04	2.645127127e+03	4.420238966e+04	
1.663316583e+02	4.343670993e+04	2.452544503e+03	4.098416543e+04	
1.683417085e+02	4.028781554e+04	2.274750106e+03	3.801306543e+04	
1.703517588e+02	3.737763528e+04	2.110434102e+03	3.526720118e+04	
1.723618090e+02	3.468631385e+04	1.958475411e+03	3.272783844e+04	
1.743718593e+02	3.219677070e+04	1.817909623e+03	3.037886108e+04	
1.763819095e+02	2.988897032e+04	1.687605483e+03	2.820136484e+04	
1.783919598e+02	2.772960481e+04	1.565682344e+03	2.616392246e+04	
1.804020101e+02	2.571530018e+04	1.451949703e+03	2.426335048e+04	
1.824120603e+02	2.384681416e+04	1.346450342e+03	2.250036381e+04	
1.844221106e+02	2.210954451e+04	1.248359784e+03	2.086118473e+04	
1.864321608e+02	2.048533929e+04	1.156653124e+03	1.932868617e+04	
1.884422111e+02	1.894177957e+04	1.069499910e+03	1.787227966e+04	
1.904522613e+02	1.748383514e+04	9.871807469e+02	1.649665439e+04	
1.924623116e+02	1.613814602e+04	9.111997976e+02	1.522694622e+04	
1.944723618e+02	1.489442394e+04	8.409761606e+02	1.405344778e+04	
1.964824121e+02	1.374341633e+04	7.759874131e+02	1.296742892e+04	
1.984924623e+02	1.267497320e+04	7.156604606e+02	1.195931274e+04	
2.005025126e+02	1.168342414e+04	6.596751387e+02	1.102374900e+04	
2.025125628e+02	1.077064164e+04	6.081371722e+02	1.016250447e+04	
2.045226131e+02	9.928979274e+03	5.606148250e+02	9.368364449e+03	
2.065326633e+02	9.152683321e+03	5.167832278e+02	8.635900093e+03	
2.085427136e+02	8.435277658e+03	4.762767226e+02	7.959000935e+03	
2.105527638e+02	7.772268939e+03	4.388416040e+02	7.333427335e+03	
2.125628141e+02	7.162241265e+03	4.043979268e+02	6.757843339e+03	
2.145728643e+02	6.600565829e+03	3.726843369e+02	6.227881492e+03	
2.165829146e+02	6.083676112e+03	3.434994600e+02	5.740176652e+03	
2.185929648e+02	5.607347590e+03	3.166047688e+02	5.290742821e+03	
2.206030151e+02	5.168123748e+03	2.918051000e+02	4.876318648e+03	
2.226130653e+02	4.764389188e+03	2.690092443e+02	4.495379944e+03	
2.246231156e+02	4.393084505e+03	2.480444599e+02	4.145040046e+03	
2.266331658e+02	4.051637325e+03	2.287655042e+02	3.822871820e+03	
2.286432161e+02	3.737580197e+03	2.110330589e+02	3.526547138e+03	
2.306532663e+02	3.448410358e+03	1.947058117e+02	3.253704546e+03	
2.326633166e+02	3.182565858e+03	1.796955712e+02	3.002870287e+03	
2.346733668e+02	2.938146489e+03	1.658950466e+02	2.772251443e+03	
2.366834171e+02	2.713412267e+03	1.532059944e+02	2.560206273e+03	
2.386934673e+02	2.506733047e+03	1.415363724e+02	2.365196675e+03	
2.407035176e+02	2.316529977e+03	1.307970348e+02	2.185732943e+03	
2.427135678e+02	2.141566535e+03	1.209181644e+02	2.020648370e+03	
2.447236181e+02	1.980605473e+03	1.118299032e+02	1.868775570e+03	
2.467336683e+02	1.832499912e+03	1.034674954e+02	1.729032417e+03	
